title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Bhaṭṭotpalaśubhāśubhapraśnagrantha,NUO02045413,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,413,Bhaṭṭotpala,Haranārāyaṇamiśra,Sanskrit,Devanagari,,,,,,,,,659,,,Complete,4,4,,27.5,18,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1933,
Abhijñānaśākuṅtala,NUO02063348,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,348,Kālidāsa,,Sanskrit,Devanagari,,,,,,,,,,6184,,Incomplete,25-84,,,25.2,7.4,,Plant Products -> Paper / कागज,,Kāvya,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Naladamayantīcaupai,NUO02045414,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,414,"SAmayasundara, Mahārājapratāpasiṁha",,-,Devanagari,,,,,,,,,392,1,,Complete,25,25,,24.5,11.5,,Plant Products -> Paper / कागज,Bad,,,,10/08/2006,,,No,,,,,No,No,,,,,,,"manus_dt: 1673,1874",
Gītagovindasaṭīka,NUO0206270,Uttar Pradesh Survey,"Sampurnanand Sanskrit University, Sarasvati  Bhavan Pustakalaya",,,70,Jayadeva,,Sanskrit,Devanagari,Bālabodhini,Mallinātha,,,,,,,,104525,,Complete,137,,,7,6.2,,Plant Products -> Paper / कागज,,Kāvya,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: Samvat 1903,
Sundarasavaia,NUO02045415,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,415,Sundaradāsa,,Brajabhasha,Devanagari,,,,,,,,,562,1,,Incomplete,49,49,,19.5,28,,Plant Products -> Paper / कागज,Bad,,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
"Anekārthamāna Mañjarī, Kāntabhūṣaṇa",NUO02045416,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,416,"Nandadāsa, Ratneṣmiśra",Umrao Siṁha,Brajabhasha,Devanagari,,,,,,,,,508,6,,Complete,66,66,,14.5,9.5,,Plant Products -> Paper / कागज,,Kāvya,,,10/08/2006,,,No,,,,,No,No,,,,,,,"manus_dt: 1938, 1937",
Boḍhanyāsa,NUO0206423,Uttar Pradesh Survey,Bundelkhand Sangrahalaya Samiti,,,23,,,Sanskrit,Devanagari,,,,,,,,,,82,,Complete,9,,,24,11,,Plant Products -> Paper / कागज,Bad,,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Premaratnākara,NUO02045417,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,417,Ratnapāla,Haranārayaṇamiśra,Brajabhasha,Devanagari,,,,,,,,,613,,,Complete,38,38,,16,17.5,,Plant Products -> Paper / कागज,,,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1899,
Kārtikamāhātmya,NUO02045418,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,418,Vedavyāsa,Sāligrāmamiśra,Brajabhasha,Devanagari,,,,,,,,,601,1,,Complete,105,105,,32.5,18.5,,Plant Products -> Paper / कागज,Bad,Māhātmya,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1889,
Aśaucanirṇaya,NUO02063349,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,349,,,Sanskrit,Devanagari,,,,,,,,,,6603,,Complete,9,,,22.8,9.6,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
